# # AWD_Partner,A0699,"^[0-9]{5,9}$",A828300,USAA,NULL
# # AWD_Partner,Q0544,"^[0-9]{5,9}$",A828300,USAA,NULL
# # AWD_Partner,A1083,^[0-9]{12}$,A828100,Costco,NULL
# # AWD_Partner,B5835,^[0-9]{12}$,A828100,Costco,NULL
# # AWD_Partner,B9865,^[0-9]{12}$,A828100,Costco,NULL
# # AWD_Partner,B9949,^[0-9]{12}$,A828100,Costco,NULL
# # AWD_Partner,A1772,"^[0-9]{5,9}$",A828300,USAA,NULL
# # AWD_Partner,A0185,"^[0-9]{5,9}$",A828300,USAA,NULL
# # AWD_Partner,A5437,"^.{1,20}$",A543700,Uber,NULL
# # AWD_Partner,A3598,NULL,A002600,AARP,NULL
# AWD_Partner,A0586,,A0586000,ZEP,@ZEP.com
# AWD_Partner,S6293,,S629300,,@aptiv.com
# AWD_Partner,D5876,,D587600,,@dow.com
# AWD_Partner,G0677,,G067700,,@hp.com
# AWD_Partner,A1027,,A102700,RR Donnelley,@rrd.com
# AWD_Partner,B0679,,B067900,,@netapp.com
# AWD_Partner,A9228,,A9228000,Nokia Networks,"@nokia.com,@nokia-sbell.com,@nokia-bell-labs.com"
# AWD_Partner,A9654,,A965400,TRUCATIONS,@trucations.com
# AWD_Partner,S1921,,S192100,,@abbvie.com
# AWD_Partner,A2743,,A274300,,@allergan.com
AWD_Partner,A4494,,A449400,Aramco,@aramcoservices.com
# AWD_Partner,A9655,,A9655000,COMCAST CORPORATION,"@comcast.com,@nbcuni.com,@adazzle.com,@audiencexpress.com,@beeswax.com,@blueface.com,@bluvector.io,@COMCASTSPECTACOR.COM,@CONTINGENT.COM,@DEEPBLUECOMMUNICATIONS.COM,@EENTERTAINMENT.COM,@forecastlabs.com,@freewheel.com,@FREEWHEEL.TV,@g4tv.com,@GOLFCHANNEL.COM,@I-CHANNEL.COM,@indemand.com,@masergy.com,@metrological.com,@PHILLYFUSION.GG,@plaxo.com,@spectacorevents.com,@SPECTACORGAMING.COM,@stratag.com,@thepamfestival.com,@THEPLATFORM.COM,@tvone.tv,@VISIBLEWORLD.COM,@xumo.com,@stylenetwork.com,@dreamworks.com,@cable.comcast.com"
# AWD_Partner,A6432,,A643200,BioMarin,"@bmrn.com,@biomarin.com,@biomarin-rareconnections.com"
# AWD_Partner,D4465,,D446500,Winco,"@winco.com,@wincofoods.com"
# AWD_Partner,A5267,,A5267000,General Dynamics,@jetaviation.com
# AWD_Partner,A5151,,A5151000,HEWLETT-PACKARD,@hpe.com
# AWD_Partner,S2134,,S2134000,KYNDRYL,@kyndryl.com
# AWD_Partner,A1339,,A1339000,CITI,"@citi.com,@citibank.com"
# AWD_Partner,A2743,,A2743000,ALLERGAN,@allergan.com
# AWD_Partner,A1941,,A1941000,PRICEWATERHOUSECOOPERS,@pwc.com
# AWD_Partner,A3685,,A3685000,JOHNSON & JOHNSON,@its.jnj.com
# AWD_Partner,D0157,,D0157000,MORGAN STANLEY,"@morganstanley.com,@ms.com"
# AWD_Partner,B6935,,B6935000,ABBOTT,@abbott.com
# AWD_Partner,D5876,,D5876000,DOW,@dow.com
# AWD_Partner,A5411,,A5411000,KPMG,@KPMG.com
# AWD_Partner,D6740,,D6740000,GOOGLE,"@google.com,@wing.com,@waymo.com,@surefox.com"
# AWD_Partner,Y6738,,Y673800,Empire Airlines,@empireairlines.com
# AWD_Partner,S1921,,S1921000,ABBVIE,@abbvie.com
# AWD_Partner,G0677,,G0677000,HP,@hp.com
# AWD_Partner,A1420,,A1420000,DXC,@dxc.com
# AWD_Partner,A1300,,A1300000,BRISTOL MYERS SQUIBB,@bms.com
# AWD_Partner,A4659,,A4659000,ADP,@adp.com
# AWD_Partner,D1919,,D191900,Fortive,"@fortive.com,@ftvbsllc.com,@tektronix.com,@provationmedical.com,@fluke.com,@dynapar.com,@asp.com"
# AWD_Partner,J0646,,J0646000,DUPONT,@dupont.com
# AWD_Partner,B9069,,B9069000,ICON CLINICAL RESEARCH,"@iconplc.com,@prahs.com"
# AWD_Partner,S6293,,S6293000,APTIV,@aptiv.com
# AWD_Partner,B0679,,B0679000,NETAPP,@netapp.com
